id,category,creator,level,maxUsers,price,datetime,title,duration
0,Boxing,498,advanced,3,16.04,2024-04-10 16:30:00.393354,A Boxing class,0 h 55 min
1,Pilates,849,advanced,34,14.63,2024-03-19 15:30:00.393354,A Pilates class,0 h 15 min
2,Yoga,814,advanced,29,15.72,2024-05-26 00:30:00.393354,A Yoga class,2 h 
3,CrossFit,94,advanced,3,14.81,2023-12-02 10:30:00.393354,A CrossFit class,0 h 55 min
4,Aerobics,623,begginer,37,13.49,2024-03-21 14:30:00.393354,A Aerobics class,1 h 35 min
5,Body Pump,365,all levels,3,10.66,2024-02-01 20:00:00.393354,A Body Pump class,1 h 45 min
6,Other,833,all levels,1,15.62,2024-01-27 17:00:00.393354,A Other class,2 h 
7,HIIT,47,all levels,35,10.57,2023-05-27 21:30:00.393354,A HIIT class,1 h 55 min
8,Kickboxing,911,intermediate,30,17.36,2023-12-21 05:00:00.393354,A Kickboxing class,1 h 
9,CrossFit,822,advanced,50,15.52,2024-03-10 02:00:00.393354,A CrossFit class,2 h 
10,Barre,721,begginer,42,19.91,2023-09-18 18:30:00.393354,A Barre class,0 h 25 min
11,GAP,121,intermediate,1,15.45,2024-04-17 03:30:00.393354,A GAP class,2 h 
12,Yoga,421,advanced,32,13.08,2023-07-17 03:30:00.393354,A Yoga class,0 h 50 min
13,Boxing,495,all levels,24,14.79,2024-01-05 11:00:00.393354,A Boxing class,2 h 
14,CrossFit,994,begginer,37,13.36,2024-02-28 06:30:00.393354,A CrossFit class,1 h 
15,Pilates,153,all levels,27,17.03,2023-12-04 02:30:00.393354,A Pilates class,2 h 
16,Yoga,502,intermediate,31,12.1,2023-08-09 18:00:00.393354,A Yoga class,0 h 10 min
17,Aerobics,250,all levels,19,15.51,2023-09-03 13:30:00.393354,A Aerobics class,1 h 50 min
18,Body Combat,423,intermediate,13,16.53,2023-12-11 02:30:00.393354,A Body Combat class,2 h 
19,CrossFit,174,intermediate,41,11.44,2024-02-11 03:30:00.393354,A CrossFit class,1 h 55 min
20,Total Body Conditioning,927,intermediate,12,16.35,2023-10-28 11:00:00.393354,A Total Body Conditioning class,0 h 25 min
21,Stretching,769,advanced,36,10.26,2023-10-17 21:00:00.393354,A Stretching class,0 h 30 min
22,Total Body Conditioning,478,begginer,48,14.11,2023-05-28 01:00:00.393354,A Total Body Conditioning class,1 h 35 min
23,HIIT,994,advanced,30,20.73,2023-08-11 09:00:00.393354,A HIIT class,0 h 5 min
24,Body Combat,929,advanced,43,12.8,2024-02-28 22:00:00.393354,A Body Combat class,1 h 25 min
25,HIIT,326,intermediate,8,15.69,2023-07-09 03:30:00.393354,A HIIT class,2 h 
26,Pilates,94,intermediate,25,8.02,2023-08-31 14:00:00.393354,A Pilates class,0 h 55 min
27,Zumba,15,advanced,10,10.9,2023-08-01 19:00:00.393354,A Zumba class,2 h 
28,Pilates,647,intermediate,33,17.89,2023-12-22 15:30:00.393354,A Pilates class,0 h 15 min
29,Kickboxing,338,intermediate,47,12.42,2023-12-02 05:00:00.393354,A Kickboxing class,1 h 25 min
30,Aerobics,571,advanced,12,17.15,2023-08-26 02:00:00.393354,A Aerobics class,0 h 10 min
31,Yoga,247,all levels,50,18.61,2024-02-21 19:30:00.393354,A Yoga class,1 h 35 min
32,Aerobics,927,begginer,16,15.22,2024-04-23 13:30:00.393354,A Aerobics class,2 h 
33,Kickboxing,109,advanced,30,14.18,2023-06-24 13:00:00.393354,A Kickboxing class,2 h 
34,Aerobics,153,begginer,15,16.19,2023-06-20 13:00:00.393354,A Aerobics class,1 h 45 min
35,Aerobics,927,intermediate,30,12.75,2023-09-15 13:00:00.393354,A Aerobics class,0 h 
36,Boxing,218,all levels,21,17.38,2023-12-11 23:00:00.393354,A Boxing class,1 h 50 min
37,ABS,480,intermediate,25,19.66,2024-02-22 10:00:00.393354,A ABS class,0 h 25 min
38,Body Combat,222,advanced,25,15.26,2023-07-25 13:00:00.393354,A Body Combat class,2 h 
